car,price,body,mileage,engV,engType,registration,year,model,drive,local da compra,regioes,Latitude,Longitude,data da compra,Ano de compra
Toyota,28900.0,crossover,20,2.5,Petrol,yes,2013,Rav 4,full,TX,Sul,31.054487,-97.563461,2023-06-19 12:34:36,2023
Renault,5400.0,vagon,181,1.5,Diesel,no,2010,Megane,front,NH,Norte,43.452492,-71.563896,2023-11-23 01:51:19,2023
Volkswagen,10600.0,van,120,2.0,Diesel,yes,2007,Touran,front,OH,Leste,40.388783,-82.764915,2023-01-11 20:33:15,2023
Mitsubishi,16900.0,crossover,126,3.0,Gas,yes,2008,Pajero Wagon,full,MS,Sul,32.321384,-89.251388,2023-12-29 18:10:20,2023
BMW,6400.0,other,220,2.5,Petrol,yes,1997,323,rear,AL,Sul,32.806671,-86.79113,2023-11-11 14:31:38,2023
Ford,6450.0,hatch,150,1.4,Petrol,yes,2007,Fiesta,front,IA,Norte,42.019842,-93.210526,2023-04-22 20:49:14,2023
BMW,28900.0,sedan,78,2.0,Petrol,yes,2012,528,rear,ND,Norte,47.528912,-99.784012,2023-01-12 17:35:56,2023
Opel,6700.0,sedan,335,2.5,Gas,yes,1998,Omega,rear,MN,Norte,44.299782,-93.774173,2023-05-18 16:04:59,2023
Tesla,159600.0,sedan,7,,Other,yes,2016,Model S,rear,MI,Norte,42.874721,-86.251989,2023-02-04 14:43:30,2023
Nissan,6700.0,sedan,80,1.8,Petrol,yes,2003,Primera,front,MI,Norte,42.874721,-86.251989,2023-12-18 08:05:32,2023
Lexus,15000.0,sedan,147,2.5,Other,yes,2007,IS 250,rear,MI,Norte,42.874721,-86.251989,2023-08-16 20:18:05,2023
Opel,4200.0,sedan,290,2.0,Petrol,yes,1997,Omega,rear,NC,Sul,35.630066,-79.806419,2023-01-20 14:17:10,2023
Mazda,6800.0,hatch,208,2.0,Petrol,yes,2003,6,front,DE,Sul,38.665721,-75.755137,2023-09-07 06:37:53,2023
Toyota,39000.0,crossover,88,4.5,Diesel,yes,2009,Land Cruiser 200,full,RI,Norte,41.680893,-71.51178,2023-04-02 18:19:40,2023
Honda,13700.0,sedan,120,3.5,Petrol,yes,2008,Accord,front,VT,Norte,44.045876,-72.710686,2023-03-19 23:07:04,2023
Land Rover,169900.0,crossover,0,4.4,Diesel,yes,2016,Range Rover,full,TN,Sul,35.747845,-86.692345,2023-02-25 00:12:03,2023
Opel,10950.0,sedan,44,1.6,Gas,yes,2012,Astra H,front,ME,Norte,44.693947,-69.381927,2023-07-11 07:12:40,2023
Mazda,2800.0,hatch,100,2.0,Petrol,yes,1992,626,front,NV,Oeste,38.313515,-117.055374,2023-06-22 07:44:13,2023
Renault,7250.0,van,83,,Other,yes,2013,Kangoo ãðóç.,,WA,Oeste,47.731157,-120.805472,2023-11-10 23:55:45,2023
Renault,6600.0,van,134,1.5,Diesel,yes,2011,Kangoo ãðóç.,front,KS,Desconhecido,38.5266,-96.726486,2023-11-25 03:58:46,2023
Toyota,35500.0,crossover,165,4.0,Gas,yes,2011,Land Cruiser Prado,full,WA,Oeste,47.731157,-120.805472,2023-04-13 23:59:55,2023
Mitsubishi,8000.0,crossover,220,2.4,Gas,yes,2004,Outlander,full,CA,Oeste,36.116203,-119.681564,2023-09-13 18:03:28,2023
Mercedes-Benz,3500.0,van,395,2.3,Diesel,no,1997,Vito ïàññ.,front,OK,Sul,36.820746,-95.929594,2023-01-14 07:18:07,2023
Honda,13950.0,sedan,143,2.0,Petrol,yes,2008,Accord,rear,NJ,Leste,40.298904,-74.521011,2023-12-18 18:01:47,2023
Chery,3500.0,sedan,83,1.6,Petrol,yes,2008,Amulet,front,GA,Sul,33.040619,-83.643074,2023-08-30 16:22:02,2023
Audi,4850.0,sedan,270,2.6,Petrol,yes,1995,A6,front,ME,Norte,44.693947,-69.381927,2023-05-16 16:43:43,2023
Mercedes-Benz,7900.0,other,206,2.2,Diesel,yes,2004,Vito ïàññ.,rear,AL,Sul,32.806671,-86.79113,2023-03-03 13:34:48,2023
Nissan,14500.0,crossover,151,2.5,Diesel,yes,2006,Pathfinder,full,KS,Desconhecido,38.5266,-96.726486,2023-05-07 21:38:43,2023
Volkswagen,8500.0,other,200,1.6,Diesel,yes,2011,Caddy ãðóç.,front,AK,Oeste,61.370716,-149.493686,2023-04-20 09:44:58,2023
Nissan,16600.0,crossover,83,2.0,Petrol,yes,2013,X-Trail,full,MD,Sul,39.063946,-76.802101,2023-10-07 12:31:20,2023
Lexus,74777.0,crossover,63,5.7,Gas,yes,2012,LX 570,full,WY,Oeste,42.755966,-107.30249,2023-05-02 22:19:17,2023
Mitsubishi,9500.0,crossover,225,2.4,Gas,yes,2004,Outlander,full,NC,Sul,35.630066,-79.806419,2023-08-28 14:52:53,2023
Mercedes-Benz,15300.0,other,120,2.6,Petrol,yes,2004,CLK 240,rear,IL,Leste,40.298904,-87.43114,2023-05-11 11:12:17,2023
Mercedes-Benz,12000.0,van,177,,Diesel,yes,2013,Vito ãðóç.,rear,AK,Oeste,61.370716,-149.493686,2023-06-21 13:13:59,2023
Nissan,18000.0,hatch,45,,Other,yes,2013,Leaf,front,MN,Norte,44.299782,-93.774173,2023-05-21 06:54:46,2023
BMW,32500.0,crossover,152,3.0,Diesel,yes,2008,X5,full,MT,Norte,46.116203,-112.869665,2023-02-12 11:43:36,2023
Volvo,23880.0,sedan,127,3.0,Petrol,yes,2011,S80,full,ND,Norte,47.528912,-99.784012,2023-10-23 16:54:15,2023
Nissan,15000.0,hatch,22,,Other,yes,2014,Leaf,front,WY,Oeste,42.755966,-107.30249,2023-03-19 00:12:35,2023
Subaru,10900.0,crossover,160,3.0,Petrol,yes,2006,Tribeca,full,OK,Sul,36.820746,-95.929594,2023-07-30 01:13:42,2023
Ford,10066.485,hatch,1,1.25,Petrol,yes,2015,Fiesta,front,OR,Oeste,33.004106,-116.418468,2023-02-20 09:11:47,2023
Mitsubishi,2600.0,other,200,2.4,Petrol,no,2002,Lancer,front,OH,Leste,40.388783,-82.764915,2023-05-16 16:16:06,2023
Mercedes-Benz,15200.0,sedan,195,3.0,Diesel,yes,2007,E-Class,rear,ID,Oeste,44.299782,-114.74204,2023-09-03 04:36:33,2023
Toyota,14500.0,sedan,127,2.4,Gas,yes,2008,Camry,front,IL,Leste,40.298904,-87.43114,2023-12-19 18:18:37,2023
Audi,3800.0,sedan,270,2.5,Diesel,no,2000,A6,front,MD,Sul,39.063946,-76.802101,2023-02-25 04:34:20,2023
Mercedes-Benz,39900.0,crossover,127,5.5,Petrol,yes,2010,GL 550,full,MO,Desconhecido,36.116203,-89.831988,2023-10-02 23:46:23,2023
Volkswagen,25999.0,sedan,60,1.8,Petrol,yes,2014,Passat B7,front,FL,Sul,27.766279,-81.686783,2023-07-10 14:35:33,2023
Subaru,9999.0,sedan,76,2.0,Petrol,yes,2008,Legacy,full,OH,Leste,40.388783,-82.764915,2023-05-20 18:33:27,2023
Volkswagen,19900.0,other,112,2.0,Petrol,yes,2012,Passat CC,front,VT,Norte,44.045876,-72.710686,2023-11-06 11:44:39,2023
Porsche,16900.0,crossover,120,3.2,Petrol,yes,2005,Cayenne,full,TN,Sul,35.747845,-86.692345,2023-08-22 02:53:32,2023
Renault,7499.0,van,123,1.5,Diesel,yes,2009,Kangoo ïàññ.,front,TX,Sul,31.054487,-97.563461,2023-12-10 18:29:25,2023
Volkswagen,6500.0,vagon,101,2.0,Diesel,yes,2011,Passat B6,front,HI,Oeste,21.094318,-157.498337,2023-08-27 05:14:58,2023
Hyundai,28888.0,crossover,20,2.2,Diesel,yes,2013,Santa FE,full,FL,Sul,27.766279,-81.686783,2023-12-02 17:06:23,2023
Volkswagen,0.0,van,239,2.0,Diesel,yes,2012,T5 (Transporter) ïàññ.,front,GA,Sul,33.040619,-83.643074,2023-01-11 22:13:20,2023
Chevrolet,4450.0,crossover,164,1.7,Other,yes,2006,Niva,full,TN,Sul,35.747845,-86.692345,2023-09-11 17:52:25,2023
Renault,2700.0,other,160,2.0,Petrol,no,2001,Megane,front,WY,Oeste,42.755966,-107.30249,2023-05-20 18:02:37,2023
Audi,0.0,crossover,1,3.0,Diesel,yes,2016,A6 Allroad,full,AK,Oeste,61.370716,-149.493686,2023-09-14 03:57:48,2023
Opel,12800.0,van,190,1.7,Diesel,yes,2011,Zafira,front,CA,Oeste,36.116203,-119.681564,2023-04-10 05:16:16,2023
Toyota,37500.0,crossover,115,5.7,Petrol,yes,2008,Land Cruiser 200,full,OR,Oeste,33.004106,-116.418468,2023-01-05 05:24:35,2023
Skoda,15800.0,sedan,39,1.8,Petrol,yes,2013,Octavia A5,front,ME,Norte,44.693947,-69.381927,2023-05-20 04:34:30,2023
Skoda,3400.0,hatch,220,1.9,Diesel,no,2002,Octavia,front,RI,Norte,41.680893,-71.51178,2023-04-05 22:25:10,2023
Hyundai,12333.0,crossover,78,2.0,Petrol,yes,2009,Tucson,full,VT,Norte,44.045876,-72.710686,2023-06-16 05:23:55,2023
Volkswagen,9200.0,sedan,195,2.0,Petrol,yes,2006,Passat B6,front,WY,Oeste,42.755966,-107.30249,2023-04-26 02:41:44,2023
Ford,15999.0,sedan,67,2.0,Petrol,yes,2011,Mondeo,front,MD,Sul,39.063946,-76.802101,2023-10-09 05:52:08,2023
Hyundai,10200.0,sedan,59,1.4,Petrol,yes,2012,Accent,front,MA,Norte,42.230171,-71.530106,2023-06-28 18:08:09,2023
Volkswagen,19500.0,sedan,128,1.8,Petrol,yes,2013,Passat B7,front,OK,Sul,36.820746,-95.929594,2023-04-28 12:19:07,2023
Honda,5200.0,other,200,1.7,Gas,yes,2002,Civic,front,OH,Leste,40.388783,-82.764915,2023-05-29 05:30:59,2023
Honda,4000.0,hatch,260,1.5,Petrol,yes,1999,Civic,front,ME,Norte,44.693947,-69.381927,2023-11-09 18:00:54,2023
Toyota,33715.5,crossover,1,2.7,Petrol,yes,2015,Land Cruiser Prado,full,IA,Norte,42.019842,-93.210526,2023-03-13 03:15:12,2023
Land Rover,92000.0,crossover,0,5.0,Petrol,yes,2015,Range Rover Sport,full,ID,Oeste,44.299782,-114.74204,2023-04-13 14:04:14,2023
Nissan,19800.0,hatch,33,,Other,yes,2014,Leaf,front,DE,Sul,38.665721,-75.755137,2023-02-20 07:21:52,2023
Nissan,15444.0,hatch,61,,Other,yes,2013,Leaf,front,PA,Leste,40.590752,-77.209755,2023-08-26 02:07:44,2023
Citroen,19000.0,sedan,123,1.6,Petrol,yes,2013,DS5,front,NV,Oeste,38.313515,-117.055374,2023-08-27 17:35:30,2023
Renault,2150.0,vagon,199,1.9,Diesel,no,2003,Laguna,front,SD,Norte,44.299782,-99.438828,2023-04-07 19:15:16,2023
Volkswagen,9555.0,van,152,1.6,Diesel,yes,2012,Caddy ãðóç.,front,MD,Sul,39.063946,-76.802101,2023-01-12 19:05:44,2023
Volkswagen,11000.0,vagon,171,1.9,Diesel,yes,2009,Golf Variant,front,WV,Sul,38.491226,-80.954522,2023-11-06 07:57:17,2023
Audi,0.0,vagon,0,3.0,Diesel,yes,2016,A6 Allroad,full,NH,Norte,43.452492,-71.563896,2023-10-12 09:45:41,2023
Daewoo,2750.0,sedan,147,1.3,Petrol,yes,2003,Sens,front,OH,Leste,40.388783,-82.764915,2023-07-18 07:55:21,2023
BMW,99999.0,other,0,3.0,Petrol,yes,2016,640,full,CO,Oeste,39.059811,-105.311104,2023-05-12 15:19:28,2023
Renault,4200.0,sedan,310,1.4,Petrol,yes,2003,Symbol,front,CA,Oeste,36.116203,-119.681564,2023-08-10 19:20:44,2023
Mercedes-Benz,114999.0,crossover,0,3.0,Diesel,yes,2016,GLS 350,full,GA,Sul,33.040619,-83.643074,2023-12-18 05:57:01,2023
BMW,16500.0,other,122,2.2,Petrol,yes,2005,520,rear,NC,Sul,35.630066,-79.806419,2023-02-22 12:20:35,2023
BMW,12600.0,sedan,219,3.6,Petrol,yes,2002,735,rear,AL,Sul,32.806671,-86.79113,2023-12-05 05:25:37,2023
BMW,3100.0,sedan,315,2.5,Diesel,no,1998,525,rear,NY,Leste,40.298904,-74.521011,2023-02-12 18:53:13,2023
Lexus,15300.0,sedan,107,2.5,Petrol,yes,2007,IS 250,rear,MT,Norte,46.116203,-112.869665,2023-05-25 07:34:54,2023
Fiat,4300.0,van,196,1.3,Diesel,yes,2004,Doblo ïàññ.,,WI,Norte,43.351915,-88.825217,2023-07-29 00:33:09,2023
Lexus,16999.0,sedan,149,3.5,Petrol,yes,2007,GS 350,full,NV,Oeste,38.313515,-117.055374,2023-06-06 05:05:33,2023
Nissan,15000.0,crossover,23,2.0,Petrol,yes,2010,Qashqai,front,GA,Sul,33.040619,-83.643074,2023-10-05 19:57:34,2023
Fiat,6300.0,van,217,1.9,Diesel,yes,2005,Doblo ïàññ.,front,IN,Leste,36.278726,-86.302264,2023-09-18 14:31:36,2023
Skoda,8200.0,vagon,135,1.6,Gas,yes,2007,Octavia Tour,front,IL,Leste,40.298904,-87.43114,2023-03-29 12:10:07,2023
Porsche,67000.0,sedan,33,4.8,Petrol,yes,2011,Panamera,full,AR,Sul,34.969704,-92.373123,2023-10-10 02:49:25,2023
Skoda,6950.0,vagon,138,1.2,Gas,yes,2009,Fabia,front,AL,Sul,32.806671,-86.79113,2023-10-23 05:45:06,2023
Mercedes-Benz,22900.0,sedan,197,2.2,Diesel,yes,2010,E-Class,rear,KY,Sul,37.66814,-84.670067,2023-04-27 21:36:15,2023
BMW,45000.0,sedan,110,,Other,yes,2012,535,full,MN,Norte,44.299782,-93.774173,2023-02-21 10:33:32,2023
Renault,12300.0,sedan,99,2.5,Petrol,yes,2011,Latitude,front,OR,Oeste,33.004106,-116.418468,2023-07-04 13:04:02,2023
Volkswagen,15500.0,sedan,80,1.4,Petrol,yes,2013,Jetta,front,MA,Norte,42.230171,-71.530106,2023-01-18 11:33:39,2023
BMW,13300.0,vagon,157,2.0,Diesel,yes,2007,520,rear,NE,Desconhecido,41.12537,-98.268082,2023-04-12 04:21:55,2023
Skoda,14900.0,hatch,87,1.8,Petrol,yes,2012,Octavia A5,front,PA,Leste,40.590752,-77.209755,2023-11-09 14:10:37,2023
Hyundai,26000.0,crossover,33,2.0,Diesel,yes,2013,IX35,full,IA,Norte,42.019842,-93.210526,2023-10-16 21:24:50,2023
Toyota,8700.0,sedan,131,1.6,Gas,yes,2007,Corolla,front,NJ,Leste,40.298904,-74.521011,2023-03-11 22:48:20,2023
Opel,5650.0,sedan,151,1.4,Petrol,yes,2008,Astra G,,KY,Sul,37.66814,-84.670067,2023-02-06 05:02:12,2023
ZAZ,7039.5,hatch,1,1.5,Petrol,yes,2015,Lanos,front,MS,Sul,32.321384,-89.251388,2023-10-25 19:32:24,2023
Mazda,14800.0,sedan,30,2.0,Petrol,yes,2009,6,front,ND,Norte,47.528912,-99.784012,2023-04-15 16:48:11,2023
Mercedes-Benz,71999.0,crossover,0,2.2,Diesel,yes,2016,GLE-Class,full,WV,Sul,38.491226,-80.954522,2023-12-16 10:52:25,2023
Volkswagen,0.0,other,440,1.4,Petrol,yes,2008,Eos,front,ME,Norte,44.693947,-69.381927,2023-03-08 22:31:25,2023
Lexus,21300.0,crossover,112,3.5,Gas,yes,2008,RX 350,full,NE,Desconhecido,41.12537,-98.268082,2023-05-13 19:33:52,2023
SsangYong,8200.0,crossover,108,2.0,Diesel,yes,2007,Actyon,full,TX,Sul,31.054487,-97.563461,2023-10-15 09:39:41,2023
Toyota,10100.0,sedan,142,2.4,Petrol,yes,2007,Camry,front,MN,Norte,44.299782,-93.774173,2023-01-21 07:58:37,2023
Volkswagen,7170.0,van,176,2.0,Diesel,yes,2005,Caddy ïàññ.,front,KY,Sul,37.66814,-84.670067,2023-03-08 15:27:42,2023
Volkswagen,19995.0,hatch,68,1.4,Petrol,yes,2013,Scirocco,front,OK,Sul,36.820746,-95.929594,2023-10-01 03:01:32,2023
